ZipCode,Income Household Median
85003,47813
85004,59913
85006,46963
85007,43716
85008,51351
85009,41013
85012,72708
85013,61215
85014,59168
85015,42823
85016,71318
85017,46150
85018,78640
85019,48374
85020,67361
85021,51193
85022,60134
85023,62185
85024,81359
85027,64886
85028,105472
85029,53565
85031,56185
85032,62805
85033,51028
85034,37981
85035,48632
85037,65733
85040,48403
85041,59416
85042,71722
85043,57941
85044,84571
85045,141615
85048,102655
85050,113020
85051,47086
85053,56495
85054,90510
85083,136577
85085,105966
85086,108874
85087,103824
85254,104284
85304,73295
85306,66945
85307,67319
85308,84727
85310,107917
85353,77905
85383,125200
